Nome do Repositório,Idade (dias),PRs Aceitos Externos,Releases,Dias sem atualizar,Linguagem,Total Issues,Issues Fechadas,Razão Issues Fechadas (%)
dragonflydb/dragonfly,1543,57,114,0,C++,2111,1850,87.64
telegramdesktop/tdesktop,4322,100,829,0,C++,15767,14873,94.33
wshobson/agents,221,47,0,0,Python,59,53,89.83
songquanpeng/one-api,1045,100,55,0,JavaScript,1797,896,49.86
grafana/k6,3633,100,85,0,Go,2563,1834,71.56
sunface/rust-course,2765,100,0,0,Rust,219,154,70.32
jumpserver/jumpserver,4260,58,263,0,Python,7642,7579,99.18
xuxueli/xxl-job,3747,100,42,0,Java,3337,3164,94.82
StevenBlack/hosts,5072,100,832,0,Python,2203,2072,94.05
vercel/turborepo,1609,99,667,0,Rust,2050,1935,94.39
encode/django-rest-framework,5479,100,21,0,Python,3946,3907,99.01
square/leakcanary,3960,37,43,0,Kotlin,1655,1514,91.48
kingToolbox/WindTerm,2336,1,32,0,C,2911,586,20.13
AllThingsSmitty/css-protips,3838,55,0,0,Nenhuma,63,62,98.41
ageron/handson-ml2,2611,65,0,0,Jupyter Notebook,518,304,58.69
google-research/tuning_playbook,1139,10,0,0,Nenhuma,45,34,75.56
GoogleChrome/lighthouse,3647,76,130,0,JavaScript,9257,8769,94.73
apolloconfig/apollo,3650,20,42,0,Java,3397,3258,95.91
hashicorp/consul,4501,83,256,0,Go,5579,4285,76.81
foundation/foundation-sites,5254,100,79,0,HTML,8240,8179,99.26
iced-rs/iced,2422,37,18,0,Rust,1308,960,73.39
JushBJJ/Mr.-Ranedeer-AI-Tutor,1067,0,3,1,Nenhuma,48,34,70.83
openssl/openssl,4794,18,297,0,C,11162,9961,89.24
nvim-lua/kickstart.nvim,1348,93,0,0,Lua,666,633,95.05
vuejs/vue-cli,3719,76,178,0,JavaScript,5501,4564,82.97
qarmin/czkawka,2008,14,40,0,Rust,1108,692,62.45
sampotts/plyr,4034,98,93,0,JavaScript,2116,1225,57.89
alibaba/canal,4796,57,32,0,Java,4786,3614,75.51
aosabook/500lines,4502,93,0,0,JavaScript,70,41,58.57
zellij-org/zellij,2008,13,65,0,Rust,2517,1193,47.4
filamentphp/filament,2175,84,821,0,PHP,3314,3296,99.46
nginx/nginx,3905,93,14,0,C,476,251,52.73
react-boilerplate/react-boilerplate,4030,80,16,0,JavaScript,1909,1823,95.5
helm/helm,3801,96,237,0,Go,8358,8094,96.84
realpython/python-guide,5467,100,0,0,Batchfile,281,181,64.41
elsewhencode/project-guidelines,3167,81,0,0,JavaScript,39,29,74.36
bigint/hey,1444,57,0,0,TypeScript,0,0,0
