repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pre_avg_cc,pre_median_cc,pre_std_cc,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,pos_avg_cc,pos_median_cc,pos_std_cc,comparison_mi_change_percent,comparison_cc_change_percent
microsoft/msticpy,1968,7.2,7,7 commits with LLM co-authorship in last 2500 commits,7,40,1771.4797222222223,6.666666666666667,14.285714285714285,0.0,106.0,67.57070827068026,66.4219849874144,25.59759916812363,3.470347648261759,3.0,2.967956582085063,7,8,8596.640277777778,1.3333333333333333,57.14285714285714,0.0,283.0,60.64926529723269,57.62999818601114,23.199710158552396,3.556633183235192,3.0,3.1365688097587774,-10.243259469356289,2.486365739658743
zarr-developers/zarr-python,1979,10.4,2,2 commits with LLM co-authorship in last 2500 commits,2,200,35004.18555555555,33.333333333333336,100.0,0.0,638.0,58.585438809984836,54.77624503345793,26.519099559165056,2.3748378728923476,1.0,2.541145675097669,2,240,5097.325416666667,40.0,100.0,0.0,41.5,67.62838811012237,64.2579744399686,27.825656201907115,2.371385083713851,1.0,2.5281917421136515,15.435489575263414,-0.14539052193450847
openapi-generators/openapi-python-client,1954,6.3,1,1 commits with LLM co-authorship in last 2500 commits,1,81,6872.569861111111,13.5,0.0,0.0,23.0,72.10789441431086,61.349344200548984,24.30801921454542,2.123489932885906,1.0,2.622985369745446,1,29,747.7279166666667,4.833333333333333,100.0,0.0,830.0,67.52140228808966,60.63073987722502,23.330731654134834,2.113784135240572,1.0,2.613246213304018,-6.360596386116284,-0.45706822033968963
alandtse/alexa_media_player,1939,7.9,1,1 commits with LLM co-authorship in last 2500 commits,1,134,101.10958333333333,22.333333333333332,0.0,0.0,16.0,42.35087630014005,37.621714413411475,31.75632543695786,3.8945686900958467,2.0,5.8685060681674965,1,190,150.8390277777778,31.666666666666668,100.0,0.0,67.0,39.310430783139495,39.96214547993131,28.434950124588283,4.56544502617801,2.0,7.253427403313927,-7.179179706821088,17.225946939599446
espnet/espnet,9838,8.4,39,39 commits with LLM co-authorship in last 2500 commits,39,440,9270.674722222222,73.33333333333333,25.64102564102564,0.0,36.0,60.34795729096817,58.008520160976545,21.549626903700595,4.3359831657704,2.0,6.367554832541783,39,34,1877.5666666666666,5.666666666666667,2.564102564102564,0.0,2.0,59.23432714169482,56.467589388305186,21.401549770627366,4.34537505752416,2.0,6.140320973400871,-1.8453485408030816,0.2166035105464213
pymupdf/PyMuPDF,9726,13.6,2,2 commits with LLM co-authorship in last 2500 commits,2,266,18.484166666666667,44.333333333333336,0.0,0.0,391.5,41.382488842790515,34.89319356999841,38.87160023456088,5.068414322250639,3.0,6.638437232683283,2,87,95.33694444444444,14.5,50.0,0.0,2.0,41.02099989002977,34.89319356999841,38.90097092456887,5.17051842598376,3.0,7.159224555314677,-0.8735312033406653,2.014517702013378
Uberi/speech_recognition,8963,12.1,3,3 commits with LLM co-authorship in last 2500 commits,3,88,8930.71361111111,14.666666666666666,0.0,0.0,4.0,60.84945292570562,60.14666697095356,32.20714911478584,5.325,3.0,5.885947247470028,3,22,59305.69375,3.6666666666666665,66.66666666666666,0.0,2.0,68.43468061140713,69.70650306949491,24.068085828630114,4.044642857142857,2.0,5.002478658584345,12.46556430829826,-24.044265593561377
sqlfluff/sqlfluff,9708,7.5,76,76 commits with LLM co-authorship in last 2500 commits,76,605,416.3240277777778,100.83333333333333,52.63157894736842,0.0,113.5,73.65263597235264,74.13743198038794,23.667269468174872,2.811175337186898,1.0,4.474898631025409,76,554,5620.074583333333,92.33333333333333,35.526315789473685,0.0,145.0,71.65347835368055,70.70845701813843,24.773647606176613,2.9056,1.0,4.895020119808838,-2.7143055944698573,3.3589033584647066
eternnoir/pyTelegramBotAPI,8732,10.9,3,3 commits with LLM co-authorship in last 2500 commits,3,141,121.58527777777778,23.5,0.0,0.0,2.0,62.43120288184302,63.99745655798718,36.050965164170655,2.917384693360365,2.0,4.5816096889216515,3,27,10.144722222222223,4.5,33.33333333333333,0.0,2.0,62.38569862424475,63.99745655798718,36.09394242670781,2.8576344086021503,2.0,4.713644207596209,-0.07288704285321637,-2.0480769949262903
bentoml/BentoML,8649,7.1,6,6 commits with LLM co-authorship in last 2500 commits,6,136,3979.447222222222,22.666666666666668,66.66666666666666,0.0,6.0,61.50816155908993,57.48694445858553,25.72590091342628,2.987675308117297,2.0,3.7143341517986457,6,30,287.4952777777778,5.0,33.33333333333333,0.0,53.5,57.45899697885173,53.51362175424825,25.404670270584035,3.1099105812220564,2.0,4.011002768769961,-6.583133811190615,4.091317178029861
pdm-project/pdm,8620,6.4,1,1 commits with LLM co-authorship in last 2500 commits,1,194,26.78236111111111,32.333333333333336,0.0,0.0,13.0,50.06887803337495,45.752283260199206,23.4360266164734,3.8540095956134337,2.0,4.449542262914514,1,54,50.96055555555556,9.0,100.0,0.0,350.0,49.81828492097466,45.10609142275554,23.502169076654308,3.8776059179556155,2.0,4.52339984057703,-0.5004967601495842,0.612253855544073
jupyter/docker-stacks,8426,10.8,2,2 commits with LLM co-authorship in last 2500 commits,2,138,3711.021388888889,23.0,0.0,0.0,5.0,87.62206654094625,95.08701928450812,15.979596934794955,1.8604651162790697,1.0,1.4480362861449394,2,17,217.0022222222222,2.8333333333333335,0.0,0.0,78.5,87.59884565937395,95.08701928450812,16.034881699786133,1.8928571428571428,1.0,1.4881904731430524,-0.026501179998361032,1.7410714285714266
readthedocs/readthedocs.org,8352,15.8,55,55 commits with LLM co-authorship in last 2500 commits,55,510,9884.676111111112,85.0,34.54545454545455,3.6363636363636362,15.0,76.06112879349314,74.24359743485131,23.4492976573812,2.461000735835173,2.0,2.2178423974498,55,255,7543.578611111111,42.5,56.36363636363636,7.2727272727272725,91.0,75.03918939645014,73.18960312530315,24.011471694478203,2.4935064935064934,2.0,2.258710403347067,-1.3435764276093989,1.3208349432000108
lmcinnes/umap,8178,8.9,1,1 commits with LLM co-authorship in last 2500 commits,1,145,50.873194444444444,24.166666666666668,0.0,0.0,88.0,36.38165135182015,21.984296480854027,33.86014378714368,5.380952380952381,3.0,8.625562580429246,1,19,3072.5583333333334,3.1666666666666665,0.0,0.0,2.0,37.54267100384316,21.641012544824118,33.27179319859786,5.436734693877551,3.0,8.589568753935918,3.1912230722999397,1.0366624525916548
reactive-python/reactpy,8136,7.2,1,1 commits with LLM co-authorship in last 2500 commits,1,73,3074.988194444444,12.166666666666666,100.0,0.0,2495.0,62.120790242911895,61.31559250106263,22.81474053758349,2.8876404494382024,2.0,3.0801583289495937,1,35,8935.664166666667,5.833333333333333,100.0,0.0,18.0,66.57666551105754,63.447263568532314,25.25642357695131,3.04,2.0,3.2231040938821693,7.172921095693999,5.276264591439684
Project-MONAI/MONAI,8172,6.6,2,2 commits with LLM co-authorship in last 2500 commits,2,483,103.40541666666667,80.5,100.0,0.0,300.0,63.87027954805459,63.20938165656388,27.008761116558475,3.7588558439098314,3.0,3.754848440837175,2,99,5651.345833333334,16.5,50.0,0.0,233.0,63.69963830946113,62.56509897311305,27.176769158271902,3.804177545691906,3.0,3.8474352017981928,-0.26716845424963975,1.2057313093159903
py-why/dowhy,8116,8.0,14,14 commits with LLM co-authorship in last 2500 commits,14,79,3464.34375,13.166666666666666,28.57142857142857,0.0,12.0,58.30772771472843,53.774608355532884,22.432634394023,3.476,2.0,4.173610427435699,14,151,28415.626944444444,25.166666666666668,78.57142857142857,0.0,59.5,58.18655800512766,53.774608355532884,22.283494509611817,3.4375478927203065,2.0,4.109903948058357,-0.20781072140831144,-1.1062171254227129
