repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
mypaint/mypaint,2939,12.0,Python,0,2500,142,53814,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:21:47Z,False
erpalma/throttled,2934,8.1,Python,0,355,2,1000,False,sem co-autoria LLM e sem arquivos de config nos últimos 355 commits,1000-2999,2026-05-24T11:22:51Z,False
erikbern/git-of-theseus,2930,9.7,Python,0,160,7,816,False,sem co-autoria LLM e sem arquivos de config nos últimos 160 commits,1000-2999,2026-05-24T11:22:56Z,False
kstenerud/iOS-Universal-Framework,2927,15.2,Python,0,92,3,543,False,sem co-autoria LLM e sem arquivos de config nos últimos 92 commits,1000-2999,2026-05-24T11:23:00Z,False
lavie/runlike,2927,11.0,Python,0,353,5,499,False,sem co-autoria LLM e sem arquivos de config nos últimos 353 commits,1000-2999,2026-05-24T11:22:59Z,False
python-arq/arq,2926,9.8,Python,0,413,12,1790,False,sem co-autoria LLM e sem arquivos de config nos últimos 413 commits,1000-2999,2026-05-24T11:23:03Z,False
ajbrock/BigGAN-PyTorch,2924,7.3,Python,0,90,22,4671,False,sem co-autoria LLM e sem arquivos de config nos últimos 90 commits,1000-2999,2026-05-24T11:23:18Z,False
ekzhu/datasketch,2920,11.2,Python,1,5,42,7534,True,,1000-2999,2026-05-24T11:23:21Z,False
zhulf0804/3D-PointCloud,2915,7.2,Python,0,201,5,453,False,sem co-autoria LLM e sem arquivos de config nos últimos 201 commits,1000-2999,2026-05-24T11:23:28Z,False
keras-team/keras-tuner,2924,7.0,Python,0,1088,101,12969,False,sem co-autoria LLM e sem arquivos de config nos últimos 1088 commits,1000-2999,2026-05-24T11:23:08Z,False
Conchylicultor/DeepQA,2914,9.9,Python,0,184,29,1815,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:23:37Z,True
Tencent/PocketFlow,2912,7.6,Python,0,214,117,16278,False,sem co-autoria LLM e sem arquivos de config nos últimos 214 commits,1000-2999,2026-05-24T11:23:43Z,False
ahupp/python-magic,2912,16.2,Python,0,363,4,747,False,sem co-autoria LLM e sem arquivos de config nos últimos 363 commits,1000-2999,2026-05-24T11:23:51Z,False
vkbo/novelWriter,2928,7.7,Python,0,2500,90,34471,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:22:59Z,False
jbesomi/texthero,2911,6.1,Python,0,277,12,2490,False,sem co-autoria LLM e sem arquivos de config nos últimos 277 commits,1000-2999,2026-05-24T11:24:02Z,False
TranscryptOrg/Transcrypt,2915,10.4,Python,0,1239,239,24844,False,sem co-autoria LLM e sem arquivos de config nos últimos 1239 commits,1000-2999,2026-05-24T11:23:34Z,False
KichangKim/DeepDanbooru,2910,6.4,Python,0,87,26,1586,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:24:14Z,True
