repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
shenweichen/DeepMatch,2424,6.1,Python,0,69,16,1513,False,sem co-autoria LLM e sem arquivos de config nos últimos 69 commits,1000-2999,2026-05-24T12:19:38Z,False
unode/firefox_decrypt,2424,12.4,Python,0,344,1,930,False,sem co-autoria LLM e sem arquivos de config nos últimos 344 commits,1000-2999,2026-05-24T12:19:42Z,False
jameslyons/python_speech_features,2422,12.6,Python,0,120,5,310,False,sem co-autoria LLM e sem arquivos de config nos últimos 120 commits,1000-2999,2026-05-24T12:19:52Z,False
microsoft/DialoGPT,2422,6.7,Python,0,83,36,3086,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:19:56Z,True
Tivix/django-rest-auth,2422,12.1,Python,0,521,21,1069,False,sem co-autoria LLM e sem arquivos de config nos últimos 521 commits,1000-2999,2026-05-24T12:20:04Z,False
sabri-zaki/EasY_HaCk,2420,7.7,Python,0,129,0,0,False,sem co-autoria LLM e sem arquivos de config nos últimos 129 commits,1000-2999,2026-05-24T12:20:19Z,False
ARISE-Initiative/robosuite,2425,7.6,Python,0,1272,212,33287,False,sem co-autoria LLM e sem arquivos de config nos últimos 1272 commits,1000-2999,2026-05-24T12:19:08Z,False
ndb796/python-for-coding-test,2416,6.1,Python,0,584,128,2480,False,sem co-autoria LLM e sem arquivos de config nos últimos 584 commits,1000-2999,2026-05-24T12:20:40Z,False
julien-duponchelle/python-mysql-replication,2415,13.7,Python,0,901,21,4352,False,sem co-autoria LLM e sem arquivos de config nos últimos 901 commits,1000-2999,2026-05-24T12:20:57Z,False
AppScale/gts,2426,14.2,Python,0,2500,5122,728690,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:18:53Z,False
cisagov/Malcolm,2418,7.0,Python,1,38,182,41644,True,,1000-2999,2026-05-24T12:20:31Z,False
hbldh/bleak,2414,8.1,Python,0,1722,48,11834,False,sem co-autoria LLM e sem arquivos de config nos últimos 1722 commits,1000-2999,2026-05-24T12:21:21Z,False
fboender/ansible-cmdb,2413,11.0,Python,0,519,74,16345,False,sem co-autoria LLM e sem arquivos de config nos últimos 519 commits,1000-2999,2026-05-24T12:21:53Z,False
Jahaja/psdash,2411,12.3,Python,0,201,9,1116,False,sem co-autoria LLM e sem arquivos de config nos últimos 201 commits,1000-2999,2026-05-24T12:22:08Z,False
igul222/improved_wgan_training,2410,9.1,Python,0,24,22,2385,False,sem co-autoria LLM e sem arquivos de config nos últimos 24 commits,1000-2999,2026-05-24T12:22:15Z,False
miguelgrinberg/Flask-Migrate,2408,12.7,Python,0,254,6,857,False,sem co-autoria LLM e sem arquivos de config nos últimos 254 commits,1000-2999,2026-05-24T12:22:17Z,False
jostmey/NakedTensor,2407,9.7,Python,0,63,3,131,False,sem co-autoria LLM e sem arquivos de config nos últimos 63 commits,1000-2999,2026-05-24T12:22:24Z,False
anfederico/clairvoyant,2407,9.7,Python,0,188,3,274,False,sem co-autoria LLM e sem arquivos de config nos últimos 188 commits,1000-2999,2026-05-24T12:22:27Z,False
tryolabs/luminoth,2404,9.3,Python,0,838,98,13141,False,sem co-autoria LLM e sem arquivos de config nos últimos 838 commits,1000-2999,2026-05-24T12:22:33Z,False
Marten4n6/EvilOSX,2404,8.3,Python,0,160,56,3359,False,sem co-autoria LLM e sem arquivos de config nos últimos 160 commits,1000-2999,2026-05-24T12:22:55Z,False
andelf/fuck12306,2403,11.2,Python,0,19,1,105,False,sem co-autoria LLM e sem arquivos de config nos últimos 19 commits,1000-2999,2026-05-24T12:23:02Z,False
microsoft/debugpy,2412,6.4,Python,1,6,561,121916,True,,1000-2999,2026-05-24T12:22:05Z,False
dickreuter/Poker,2398,10.2,Python,0,649,58,10929,False,sem co-autoria LLM e sem arquivos de config nos últimos 649 commits,1000-2999,2026-05-24T12:23:17Z,False
pretix/pretix,2413,11.7,Python,0,2500,551,123805,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:21:39Z,False
eclipse-paho/paho.mqtt.python,2398,10.4,Python,0,880,12,5168,False,sem co-autoria LLM e sem arquivos de config nos últimos 880 commits,1000-2999,2026-05-24T12:23:40Z,False
cloudnativelabs/kube-shell,2396,8.9,Python,0,76,11,649,False,sem co-autoria LLM e sem arquivos de config nos últimos 76 commits,1000-2999,2026-05-24T12:24:03Z,False
dirkjanm/BloodHound.py,2398,8.2,Python,0,311,22,6122,False,sem co-autoria LLM e sem arquivos de config nos últimos 311 commits,1000-2999,2026-05-24T12:24:03Z,False
exercism/python,2403,12.2,Python,0,2500,333,18100,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:23:04Z,False
danielegrattarola/spektral,2395,7.4,Python,0,1134,85,9457,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:24:17Z,True
timsutton/brigadier,2394,13.3,Python,0,100,1,55,False,sem co-autoria LLM e sem arquivos de config nos últimos 100 commits,1000-2999,2026-05-24T12:24:47Z,False
secretsquirrel/SigThief,2393,8.7,Python,0,25,1,198,False,sem co-autoria LLM e sem arquivos de config nos últimos 25 commits,1000-2999,2026-05-24T12:24:50Z,False
TorchIO-project/torchio,2396,6.5,Python,1,2,108,13648,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:24:15Z,True
psycopg/psycopg,2396,6.2,Python,0,2500,113,20416,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:24:07Z,False
bkerler/edl,2390,7.5,Python,0,652,55,15796,False,sem co-autoria LLM e sem arquivos de config nos últimos 652 commits,1000-2999,2026-05-24T12:24:53Z,False
xhtml2pdf/xhtml2pdf,2390,15.0,Python,0,1157,54,11233,False,sem co-autoria LLM e sem arquivos de config nos últimos 1157 commits,1000-2999,2026-05-24T12:25:12Z,False
asyml/texar,2391,8.8,Python,0,1719,135,25791,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:25:05Z,True
SCons/scons,2386,8.7,Python,0,2500,358,76714,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:25:50Z,False
sagemath/sage,2389,14.0,Python,1,112,2373,1592536,True,,1000-2999,2026-05-24T12:25:13Z,False
jazzband/django-push-notifications,2385,13.2,Python,0,498,21,2240,False,sem co-autoria LLM e sem arquivos de config nos últimos 498 commits,1000-2999,2026-05-24T12:27:21Z,False
omry/omegaconf,2386,7.7,Python,0,1226,93,16047,False,sem co-autoria LLM e sem arquivos de config nos últimos 1226 commits,1000-2999,2026-05-24T12:27:20Z,False
AminHP/gym-anytrading,2382,6.7,Python,0,42,8,352,False,sem co-autoria LLM e sem arquivos de config nos últimos 42 commits,1000-2999,2026-05-24T12:27:53Z,False
BrikerMan/Kashgari,2384,7.3,Python,0,955,66,3825,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:27:34Z,True
unitedstates/congress-legislators,2388,13.7,Python,0,2500,37,3566,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:25:45Z,False
LoRexxar/Kunlun-M,2382,8.7,Python,0,955,214,23885,False,sem co-autoria LLM e sem arquivos de config nos últimos 955 commits,1000-2999,2026-05-24T12:27:56Z,False
gawel/pyquery,2379,13.5,Python,0,501,8,1991,False,sem co-autoria LLM e sem arquivos de config nos últimos 501 commits,1000-2999,2026-05-24T12:28:25Z,False
google/youtube-8m,2377,9.4,Python,0,421,21,3140,False,sem co-autoria LLM e sem arquivos de config nos últimos 421 commits,1000-2999,2026-05-24T12:28:41Z,False
cocotb/cocotb,2381,13.0,Python,0,2500,73,15426,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:27:58Z,False
OWASP/masvs,2380,9.7,Python,0,2500,4,264,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:28:06Z,False
lncrawl/lightnovel-crawler,2377,8.4,Python,0,2500,611,36617,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:29:09Z,False
codespell-project/codespell,2377,15.3,Python,0,2500,6,1317,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:28:52Z,False
heucoder/dimensionality_reduction_alo_codes,2375,7.0,Python,0,23,14,1030,False,sem co-autoria LLM e sem arquivos de config nos últimos 23 commits,1000-2999,2026-05-24T12:30:31Z,False
shuup/shuup,2376,11.0,Python,0,2500,1344,107636,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:29:11Z,False
princeton-vl/CornerNet,2371,7.8,Python,0,5,28,1751,False,sem co-autoria LLM e sem arquivos de config nos últimos 5 commits,1000-2999,2026-05-24T12:30:38Z,False
r9y9/wavenet_vocoder,2374,8.4,Python,0,261,23,3010,False,sem co-autoria LLM e sem arquivos de config nos últimos 261 commits,1000-2999,2026-05-24T12:30:34Z,False
TomAnthony/itermocil,2371,10.8,Python,0,107,2,519,False,sem co-autoria LLM e sem arquivos de config nos últimos 107 commits,1000-2999,2026-05-24T12:30:40Z,False
terryyin/lizard,2376,13.9,Python,0,1287,69,6635,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:30:27Z,True
kurtmckee/feedparser,2370,15.5,Python,0,1515,33,4851,False,sem co-autoria LLM e sem arquivos de config nos últimos 1515 commits,1000-2999,2026-05-24T12:30:42Z,False
PyWavelets/pywt,2369,12.8,Python,0,2078,50,6998,False,sem co-autoria LLM e sem arquivos de config nos últimos 2078 commits,1000-2999,2026-05-24T12:30:44Z,False
lijiejie/BBScan,2368,10.5,Python,0,53,25,2318,False,sem co-autoria LLM e sem arquivos de config nos últimos 53 commits,1000-2999,2026-05-24T12:31:37Z,False
aboSamoor/polyglot,2366,11.9,Python,0,271,23,4141,False,sem co-autoria LLM e sem arquivos de config nos últimos 271 commits,1000-2999,2026-05-24T12:31:41Z,False
notAI-tech/NudeNet,2364,7.2,Python,0,207,9,638,False,sem co-autoria LLM e sem arquivos de config nos últimos 207 commits,1000-2999,2026-05-24T12:31:49Z,False
Roujack/mathAI,2368,7.6,Python,0,27,15,1721,False,sem co-autoria LLM e sem arquivos de config nos últimos 27 commits,1000-2999,2026-05-24T12:31:28Z,False
chemprop/chemprop,2369,7.3,Python,0,2500,66,12627,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:31:00Z,True
pixie-lang/pixie,2360,11.7,Python,0,1367,49,7557,False,sem co-autoria LLM e sem arquivos de config nos últimos 1367 commits,1000-2999,2026-05-24T12:32:14Z,False
QianyanTech/Image-Downloader,2355,9.9,Python,0,68,10,1371,False,sem co-autoria LLM e sem arquivos de config nos últimos 68 commits,1000-2999,2026-05-24T12:32:48Z,False
fxia22/pointnet.pytorch,2353,9.1,Python,0,50,9,841,False,sem co-autoria LLM e sem arquivos de config nos últimos 50 commits,1000-2999,2026-05-24T12:32:52Z,False
ToxicFrog/Ligaturizer,2353,8.8,Python,0,82,5,910,False,sem co-autoria LLM e sem arquivos de config nos últimos 82 commits,1000-2999,2026-05-24T12:32:54Z,False
agronholm/sqlacodegen,2353,9.4,Python,0,410,6,1914,False,sem co-autoria LLM e sem arquivos de config nos últimos 410 commits,1000-2999,2026-05-24T12:32:58Z,False
moskomule/senet.pytorch,2352,8.7,Python,0,69,8,475,False,sem co-autoria LLM e sem arquivos de config nos últimos 69 commits,1000-2999,2026-05-24T12:33:11Z,False
MasoniteFramework/masonite,2363,8.5,Python,0,2500,359,14010,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:32:04Z,False
JelteF/PyLaTeX,2352,12.4,Python,0,775,29,5744,False,sem co-autoria LLM e sem arquivos de config nos últimos 775 commits,1000-2999,2026-05-24T12:33:15Z,False
JacquesLucke/animation_nodes,2357,11.7,Python,0,2500,601,31006,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:32:29Z,False
emirozer/fake2db,2351,12.3,Python,0,242,12,1464,False,sem co-autoria LLM e sem arquivos de config nos últimos 242 commits,1000-2999,2026-05-24T12:33:35Z,False
EONRaider/blackhat-python3,2351,6.1,Python,0,92,39,2079,False,sem co-autoria LLM e sem arquivos de config nos últimos 92 commits,1000-2999,2026-05-24T12:33:39Z,False
nikhilbarhate99/PPO-PyTorch,2351,7.7,Python,0,98,5,597,False,sem co-autoria LLM e sem arquivos de config nos últimos 98 commits,1000-2999,2026-05-24T12:33:47Z,False
modAL-python/modAL,2351,8.5,Python,0,739,19,2476,False,sem co-autoria LLM e sem arquivos de config nos últimos 739 commits,1000-2999,2026-05-24T12:33:42Z,False
matthewwithanm/django-imagekit,2350,15.3,Python,0,1160,35,1734,False,sem co-autoria LLM e sem arquivos de config nos últimos 1160 commits,1000-2999,2026-05-24T12:33:51Z,False
somerandomdude/Iconic,2349,14.7,Python,0,57,9,2787,False,sem co-autoria LLM e sem arquivos de config nos últimos 57 commits,1000-2999,2026-05-24T12:34:01Z,False
dcos/dcos,2352,10.1,Python,0,2500,160,25699,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:33:13Z,False
smallcorgi/Faster-RCNN_TF,2345,9.7,Python,0,51,61,7373,False,sem co-autoria LLM e sem arquivos de config nos últimos 51 commits,1000-2999,2026-05-24T12:34:21Z,False
microsoft/Deep3DFaceReconstruction,2346,7.2,Python,0,122,13,1117,False,sem co-autoria LLM e sem arquivos de config nos últimos 122 commits,1000-2999,2026-05-24T12:34:20Z,False
mcordts/cityscapesScripts,2342,10.3,Python,0,110,30,6750,False,sem co-autoria LLM e sem arquivos de config nos últimos 110 commits,1000-2999,2026-05-24T12:34:24Z,False
michuanhaohao/reid-strong-baseline,2340,7.2,Python,0,68,41,2699,False,sem co-autoria LLM e sem arquivos de config nos últimos 68 commits,1000-2999,2026-05-24T12:34:29Z,False
Determined22/zh-NER-TF,2338,8.8,Python,0,8,5,595,False,sem co-autoria LLM e sem arquivos de config nos últimos 8 commits,1000-2999,2026-05-24T12:34:32Z,False
NVIDIA/waveglow,2337,7.5,Python,0,67,8,902,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:34:40Z,True
mirumee/ariadne,2342,7.9,Python,0,2361,84,10336,False,sem co-autoria LLM e sem arquivos de config nos últimos 2361 commits,1000-2999,2026-05-24T12:34:24Z,False
QuantEcon/QuantEcon.py,2336,13.2,Python,1,2,94,14909,True,,1000-2999,2026-05-24T12:34:42Z,False
muammar/mkchromecast,2341,10.2,Python,0,600,26,4021,False,sem co-autoria LLM e sem arquivos de config nos últimos 600 commits,1000-2999,2026-05-24T12:34:27Z,False
sokolovstas/SublimeWebInspector,2336,13.4,Python,0,310,21,2728,False,sem co-autoria LLM e sem arquivos de config nos últimos 310 commits,1000-2999,2026-05-24T12:35:26Z,False
franMarz/TexTools-Blender,2336,7.0,Python,0,318,72,8605,False,sem co-autoria LLM e sem arquivos de config nos últimos 318 commits,1000-2999,2026-05-24T12:35:27Z,False
s0md3v/Striker,2334,8.6,Python,0,85,15,679,False,sem co-autoria LLM e sem arquivos de config nos últimos 85 commits,1000-2999,2026-05-24T12:35:39Z,False
Neoteroi/BlackSheep,2335,7.5,Python,1,3,119,21751,True,,1000-2999,2026-05-24T12:35:34Z,False
zostera/django-bootstrap3,2335,12.8,Python,0,1199,20,1683,False,sem co-autoria LLM e sem arquivos de config nos últimos 1199 commits,1000-2999,2026-05-24T12:35:33Z,False
JasonKessler/scattertext,2329,9.8,Python,0,390,333,22517,False,sem co-autoria LLM e sem arquivos de config nos últimos 390 commits,1000-2999,2026-05-24T12:35:47Z,False
egrcc/zhihu-python,2327,11.4,Python,0,151,3,1610,False,sem co-autoria LLM e sem arquivos de config nos últimos 151 commits,1000-2999,2026-05-24T12:36:03Z,False
openairplay/airplay2-receiver,2327,6.4,Python,0,270,18,10873,False,sem co-autoria LLM e sem arquivos de config nos últimos 270 commits,1000-2999,2026-05-24T12:36:05Z,False
ufoym/imbalanced-dataset-sampler,2323,8.0,Python,0,24,4,120,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:36:13Z,True
jtpereyda/boofuzz,2330,10.5,Python,0,1452,146,16507,False,sem co-autoria LLM e sem arquivos de config nos últimos 1452 commits,1000-2999,2026-05-24T12:35:42Z,False
bugcrowd/HUNT,2324,9.2,Python,0,373,27,1355,False,sem co-autoria LLM e sem arquivos de config nos últimos 373 commits,1000-2999,2026-05-24T12:36:09Z,False
Rayhane-mamah/Tacotron-2,2322,8.4,Python,0,156,42,5804,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:36:15Z,True
lucasjinreal/weibo_terminater,2320,9.1,Python,0,36,12,565,False,sem co-autoria LLM e sem arquivos de config nos últimos 36 commits,1000-2999,2026-05-24T12:36:21Z,False
chezou/tabula-py,2315,9.7,Python,0,451,8,1497,False,sem co-autoria LLM e sem arquivos de config nos últimos 451 commits,1000-2999,2026-05-24T12:36:23Z,False
cyberjunky/python-garminconnect,2319,6.4,Python,1,3,14,8780,True,,1000-2999,2026-05-24T12:36:21Z,False
nanohop/sketch-to-react-native,2314,8.6,Python,0,35,7,1333,False,sem co-autoria LLM e sem arquivos de config nos últimos 35 commits,1000-2999,2026-05-24T12:36:38Z,False
vmware/pyvmomi,2311,12.4,Python,0,446,29,19095,False,sem co-autoria LLM e sem arquivos de config nos últimos 446 commits,1000-2999,2026-05-24T12:36:41Z,False
zhaoolee/StarsAndClown,2313,7.2,Python,0,266,1,120,False,sem co-autoria LLM e sem arquivos de config nos últimos 266 commits,1000-2999,2026-05-24T12:36:40Z,False
fastapiutils/fastapi-utils,2310,6.3,Python,0,37,13,761,False,sem co-autoria LLM e sem arquivos de config nos últimos 37 commits,1000-2999,2026-05-24T12:37:01Z,False
d0c-s4vage/lookatme,2309,6.5,Python,0,228,30,3085,False,sem co-autoria LLM e sem arquivos de config nos últimos 228 commits,1000-2999,2026-05-24T12:37:02Z,False
seb-m/pyinotify,2308,15.7,Python,0,239,3,3905,False,sem co-autoria LLM e sem arquivos de config nos últimos 239 commits,1000-2999,2026-05-24T12:37:04Z,False
frgfm/torch-cam,2303,6.2,Python,0,201,12,1417,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:37:12Z,True
hisxo/gitGraber,2302,6.7,Python,0,82,3,516,False,sem co-autoria LLM e sem arquivos de config nos últimos 82 commits,1000-2999,2026-05-24T12:37:19Z,False
microsoft/Olive,2318,6.8,Python,1,8,340,57828,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:36:22Z,True
switchablenorms/CelebAMask-HQ,2301,7.2,Python,0,83,37,3160,False,sem co-autoria LLM e sem arquivos de config nos últimos 83 commits,1000-2999,2026-05-24T12:37:22Z,False
ungoogled-software/ungoogled-chromium-windows,2303,7.2,Python,0,616,2,327,False,sem co-autoria LLM e sem arquivos de config nos últimos 616 commits,1000-2999,2026-05-24T12:37:10Z,False
hzwer/ICCV2019-LearningToPaint,2298,7.2,Python,0,101,33,2396,False,sem co-autoria LLM e sem arquivos de config nos últimos 101 commits,1000-2999,2026-05-24T12:37:26Z,False
pyusb/pyusb,2298,14.7,Python,0,551,16,4808,False,sem co-autoria LLM e sem arquivos de config nos últimos 551 commits,1000-2999,2026-05-24T12:37:25Z,False
olivierkes/manuskript,2297,10.9,Python,0,1724,178,26486,False,sem co-autoria LLM e sem arquivos de config nos últimos 1724 commits,1000-2999,2026-05-24T12:37:32Z,False
nschloe/meshio,2295,10.5,Python,0,2500,89,11958,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:37:40Z,False
themix-project/themix-gui,2295,12.0,Python,0,2265,42,7968,False,sem co-autoria LLM e sem arquivos de config nos últimos 2265 commits,1000-2999,2026-05-24T12:38:26Z,False
LinuxCNC/linuxcnc,2298,14.2,Python,0,700,516,227281,False,sem co-autoria LLM e sem arquivos de config nos últimos 700 commits,1000-2999,2026-05-24T12:37:29Z,False
dataabc/weibo-search,2293,6.2,Python,0,124,10,1662,False,sem co-autoria LLM e sem arquivos de config nos últimos 124 commits,1000-2999,2026-05-24T12:39:37Z,False
jeffknupp/sandman,2290,12.8,Python,0,384,12,3677,False,sem co-autoria LLM e sem arquivos de config nos últimos 384 commits,1000-2999,2026-05-24T12:39:42Z,False
Unmanic/unmanic,2294,7.4,Python,0,977,159,27179,False,sem co-autoria LLM e sem arquivos de config nos últimos 977 commits,1000-2999,2026-05-24T12:39:24Z,False
luopeixiang/named_entity_recognition,2287,7.2,Python,0,10,13,830,False,sem co-autoria LLM e sem arquivos de config nos últimos 10 commits,1000-2999,2026-05-24T12:39:53Z,False
mavlink/mavlink,2295,14.8,Python,0,2500,3,533,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:38:49Z,False
achillesrasquinha/bulbea,2284,9.2,Python,0,49,34,732,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:39:57Z,True
GrahamDumpleton/wrapt,2282,13.0,Python,0,1267,13,2271,False,sem co-autoria LLM e sem arquivos de config nos últimos 1267 commits,1000-2999,2026-05-24T12:39:58Z,False
moderngl/moderngl,2288,10.2,Python,0,2500,3,2734,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:39:52Z,False
AIStream-Peelout/flow-forecast,2281,6.8,Python,0,2500,61,13029,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:40:00Z,True
vim/vim-win32-installer,2281,10.3,Python,1,15,1,104,False,< 2 arquivos .py ou < 200 SLOC no HEAD,1000-2999,2026-05-24T12:40:29Z,False
randy3k/radian,2278,9.2,Python,0,1030,22,4750,False,sem co-autoria LLM e sem arquivos de config nos últimos 1030 commits,1000-2999,2026-05-24T12:41:06Z,False
astooke/rlpyt,2275,7.1,Python,0,658,449,30717,False,sem co-autoria LLM e sem arquivos de config nos últimos 658 commits,1000-2999,2026-05-24T12:41:31Z,False
benedekrozemberczki/karateclub,2280,6.5,Python,0,2319,68,6196,False,sem co-autoria LLM e sem arquivos de config nos últimos 2319 commits,1000-2999,2026-05-24T12:40:56Z,False
bigb0sss/RedTeam-OffensiveSecurity,2275,6.2,Python,0,321,9,661,False,sem co-autoria LLM e sem arquivos de config nos últimos 321 commits,1000-2999,2026-05-24T12:41:53Z,False
rsennrich/subword-nmt,2273,10.7,Python,0,144,14,1266,False,sem co-autoria LLM e sem arquivos de config nos últimos 144 commits,1000-2999,2026-05-24T12:42:02Z,False
iver56/audiomentations,2275,7.3,Python,0,1421,54,6083,False,sem co-autoria LLM e sem arquivos de config nos últimos 1421 commits,1000-2999,2026-05-24T12:41:31Z,False
666DZY666/micronet,2271,6.5,Python,0,295,38,6271,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:42:07Z,True
jupyter/nbviewer,2274,13.8,Python,0,1570,30,3453,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:41:56Z,True
Suor/django-cacheops,2270,15.0,Python,0,1264,26,1654,False,sem co-autoria LLM e sem arquivos de config nos últimos 1264 commits,1000-2999,2026-05-24T12:42:15Z,False
traveller59/spconv,2270,7.3,Python,0,248,80,21494,False,sem co-autoria LLM e sem arquivos de config nos últimos 248 commits,1000-2999,2026-05-24T12:42:37Z,False
mrharicot/monodepth,2268,9.1,Python,0,33,8,922,False,sem co-autoria LLM e sem arquivos de config nos últimos 33 commits,1000-2999,2026-05-24T12:42:47Z,False
JushuangQiao/Python-Offer,2268,8.6,Python,0,116,52,1825,False,sem co-autoria LLM e sem arquivos de config nos últimos 116 commits,1000-2999,2026-05-24T12:42:50Z,False
rabbitmask/WeblogicScan,2266,7.2,Python,0,124,20,4445,False,sem co-autoria LLM e sem arquivos de config nos últimos 124 commits,1000-2999,2026-05-24T12:42:55Z,False
crownpku/Information-Extraction-Chinese,2266,8.8,Python,0,76,11,2211,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:43:04Z,True
NLP-LOVE/Introduction-NLP,2266,6.3,Python,0,121,20,979,False,sem co-autoria LLM e sem arquivos de config nos últimos 121 commits,1000-2999,2026-05-24T12:43:16Z,False
hunglc007/tensorflow-yolov4-tflite,2264,6.1,Python,0,159,23,2900,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:43:22Z,True
globocom/m3u8,2263,14.1,Python,0,570,9,2240,False,sem co-autoria LLM e sem arquivos de config nos últimos 570 commits,1000-2999,2026-05-24T12:43:33Z,False
Exa-Networks/exabgp,2269,12.7,Python,0,2500,449,59377,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:42:47Z,False
CoinCheung/pytorch-loss,2260,7.1,Python,0,115,51,6209,False,sem co-autoria LLM e sem arquivos de config nos últimos 115 commits,1000-2999,2026-05-24T12:44:02Z,False
winpython/winpython,2262,11.7,Python,0,2500,16,2204,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:43:48Z,False
numba/llvmlite,2259,11.8,Python,0,2500,42,8680,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:44:06Z,False
Checkmk/checkmk,2270,7.3,Python,0,2500,6292,775172,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:42:08Z,False
sanderland/katrain,2259,6.5,Python,0,1124,36,9393,False,sem co-autoria LLM e sem arquivos de config nos últimos 1124 commits,1000-2999,2026-05-24T12:44:50Z,False
samjabrahams/tensorflow-on-raspberry-pi,2258,10.2,Python,0,79,1,157,False,sem co-autoria LLM e sem arquivos de config nos últimos 79 commits,1000-2999,2026-05-24T12:45:30Z,False
chiphuyen/lazynlp,2258,7.2,Python,0,14,7,773,False,sem co-autoria LLM e sem arquivos de config nos últimos 14 commits,1000-2999,2026-05-24T12:45:39Z,False
vintasoftware/django-react-boilerplate,2258,9.8,Python,0,1230,30,746,False,sem co-autoria LLM e sem arquivos de config nos últimos 1230 commits,1000-2999,2026-05-24T12:45:12Z,False
namisan/mt-dnn,2256,7.3,Python,0,582,71,14004,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T12:45:40Z,True
WZBSocialScienceCenter/pdftabextract,2256,9.9,Python,0,171,9,1682,False,sem co-autoria LLM e sem arquivos de config nos últimos 171 commits,1000-2999,2026-05-24T12:45:44Z,False
MhLiao/DB,2252,6.5,Python,0,53,89,7387,False,sem co-autoria LLM e sem arquivos de config nos últimos 53 commits,1000-2999,2026-05-24T12:45:57Z,False
pyscaffold/pyscaffold,2256,12.2,Python,0,2324,31,3840,False,sem co-autoria LLM e sem arquivos de config nos últimos 2324 commits,1000-2999,2026-05-24T12:45:42Z,False
borgmatic-collective/borgmatic,2253,11.5,Python,0,2500,129,16642,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T12:45:57Z,False
ndrplz/ConvLSTM_pytorch,2251,8.8,Python,0,11,1,145,False,sem co-autoria LLM e sem arquivos de config nos últimos 11 commits,1000-2999,2026-05-24T12:47:06Z,False
