Métrica,Média,Mediana,Moda,Desvio Padrão,Variância,Mínimo,Q1 (25%),Q3 (75%),Máximo,Amplitude,Assimetria,Curtose,Coef. Variação (%)
LCOM,116.55016511867906,24.54,0.0,1743.0313819749656,3038158.3985495586,0.0,10.1,50.28,54025.11,54025.11,30.635937738500385,948.1081433449268,1495.5203025238927
DIT,1.455232198142415,1.39,1.0,0.3537505260274364,0.12513943466468797,1.0,1.24,1.61,4.39,3.3899999999999997,2.7750464974674,16.011755504455373,24.308871565582066
CBO,5.38486068111455,5.33,4.38,1.884917464869974,3.5529138493718495,0.0,4.34,6.45,21.9,21.9,0.8524610928337714,7.281541751259061,35.00401545170221
Tamanho_LOC,96213.70175438597,15319.0,5.0,350268.8536617543,122688269845.51942,2.0,3566.0,65589.0,8603744.0,8603742.0,16.085195510418565,364.4747252580662,364.05298546346285
