Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
brettwooldridge/HikariCP,21078,12.48,0,11464,4042,4.38,1.29,172.67
apache/shardingsphere,20702,10.2,59,248139,0,7.35,1.37,29.67
didi/DoKit,20431,7.63,14,80480,28136,4.51,1.32,71.77
mybatis/mybatis-3,20402,13.12,46,61067,28395,3.57,1.24,21.27
linlinjava/litemall,20211,8.02,8,90884,40871,4.62,1.13,1532.88
ReactiveX/RxAndroid,20154,11.61,20,1452,240,2.27,1.13,3.09
yudaocode/SpringBoot-Labs,20077,7.55,0,17714,0,4.3,1.05,1.44
dianping/cat,18968,13.32,3,98001,22914,5.53,1.43,23.04
lionsoul2014/ip2region,18887,10.41,21,2564,534,4.1,1.21,11.19
Baseflow/PhotoView,18853,13.7,5,1792,360,4.73,1.36,24.6
antlr/antlr4,18807,16.15,31,41022,16397,5.77,1.84,48.3
YunaiV/yudao-cloud,18721,6.91,40,102687,0,7.91,1.21,16.01
dromara/Sa-Token,18710,6.15,39,27350,35866,4.49,1.22,60.22
williamfiset/Algorithms,18544,9.03,0,32371,8719,2.7,1.06,23.71
Tencent/APIJSON,18404,9.36,112,13927,4948,5.91,1.24,1169.33
LMAX-Exchange/disruptor,18270,13.52,14,13167,7078,4.48,1.29,25.88
forezp/SpringCloudLearning,17968,8.98,0,1123,344,4.55,1.05,0.55
Tencent/tinker,17787,9.56,60,40447,10100,4.79,1.6,28.47
ben-manes/caffeine,17578,11.3,72,91003,21298,5.06,1.55,165.41
infinilabs/analysis-ik,17433,14.29,1,2620,1447,4.82,1.37,18.37
justauth/JustAuth,17416,7.16,46,6054,3335,5.51,1.34,12.98
baomidou/mybatis-plus,17333,9.62,40,39158,0,5.91,1.33,25.06
gyoogle/tech-interview-for-developer,17244,6.81,0,636,52,1.31,1.0,0.92
material-components/material-components-android,17223,9.32,118,120176,0,7.16,1.54,93.8
facebook/fresco,17160,11.08,55,46482,14533,6.63,1.42,27.18
alibaba/DataX,17146,8.2,7,81194,9582,4.5,1.72,22.65
nostra13/Android-Universal-Image-Loader,17026,14.34,0,7434,5246,4.86,1.59,28.84
heibaiying/BigData-Notes,16880,7.06,0,2124,657,5.71,1.22,0.82
