Repositorio,Status,Tamanho_Arquivos,Tamanho_Linhas_Adicionadas,Tamanho_Linhas_Removidas,Tempo_Analise_Horas,Descricao_Caracteres,Interacoes_Participantes,Interacoes_Comentarios,Revisoes
freeCodeCamp/freeCodeCamp,MERGED,1,1,20,4.5,560,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,4,4,12,1.97,1265,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,9.56,558,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,17.1,20090,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,3,1.37,814,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,0,2,14.26,761,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,3,38,39,2.17,3490,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,20.86,47,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,10,10,3.64,19382,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,20,324,14,22.92,45,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,14,3.88,45691,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,4,12,23,7.46,2601,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,4,405,442,10.72,57997,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,3,57,1,42.13,1679,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,228,321,1.65,49755,1,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,6,6,1.65,3779,1,0,3
freeCodeCamp/freeCodeCamp,CLOSED,2,7,7,4.98,1750,1,0,2
freeCodeCamp/freeCodeCamp,MERGED,1,36,36,4.5,1835,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,8,8,4.63,1684,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,3,102,8,71.83,1775,4,6,2
freeCodeCamp/freeCodeCamp,MERGED,1,3,1,57.89,761,4,2,2
freeCodeCamp/freeCodeCamp,MERGED,1,17,5,83.62,1807,4,7,1
freeCodeCamp/freeCodeCamp,MERGED,2,23,10,14.83,5117,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,2,2,2,23.61,1580,1,1,2
freeCodeCamp/freeCodeCamp,MERGED,4,9,45,15.06,29120,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,2,2,21.3,907,4,4,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,8,5.72,2661,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,3,185,743,7.49,2660,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,3,17,6,6.36,1969,3,1,1
freeCodeCamp/freeCodeCamp,CLOSED,1,83,83,15.14,3852,0,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,162,720,24.34,15713,1,2,2
freeCodeCamp/freeCodeCamp,MERGED,2,8,27,5.7,3501,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,5.7,2251,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,8,6.65,2167,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,6,12,1.64,2408,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,7,6,1.64,3083,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,3,13,12,2.33,1744,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,43,42,2.33,2286,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,8.12,47,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,51,102,0,1.26,924,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,0,0,0,94.42,1462,3,5,6
freeCodeCamp/freeCodeCamp,MERGED,2,14,15,6.96,2227,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,2,0,108.57,1271,6,3,4
freeCodeCamp/freeCodeCamp,MERGED,1,28,41,89.38,2017,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,8,5,99.62,739,2,0,2
freeCodeCamp/freeCodeCamp,MERGED,2,6,18,30.76,2363,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,670,1928,31.46,2467,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,17,24,31.48,4324,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,684,1930,31.84,3456,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,684,1930,22.66,3438,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,41,41,1.27,1992,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,20,353,63,18.23,45,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,2,11,11,1.93,1702,1,0,2
freeCodeCamp/freeCodeCamp,MERGED,1,99,106,7.57,2882,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,32,0,21.96,1069,3,0,7
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,4.01,1125,2,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,18.16,575,4,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,667,643,19.91,57985,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,22.27,1885,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,2,31,178,6.57,1702,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,3,69,5,11.56,761,2,1,1
freeCodeCamp/freeCodeCamp,CLOSED,1,1,1,43.19,1375,3,1,2
freeCodeCamp/freeCodeCamp,CLOSED,1,2,2,68.29,1143,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,64.24,47,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,12,5169,5407,6.39,45,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,2,1,68.33,868,3,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,3.28,605,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,3,3,4.98,789,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,51.18,902,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,4.37,761,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,65.98,765,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,22.56,1885,1,1,3
freeCodeCamp/freeCodeCamp,CLOSED,1,10,6,20.22,1000,3,2,1
freeCodeCamp/freeCodeCamp,CLOSED,1,10,6,1.48,1229,3,2,1
freeCodeCamp/freeCodeCamp,MERGED,29,1605,291,256.29,901,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,1,242,483,46.61,1578,1,2,2
freeCodeCamp/freeCodeCamp,MERGED,2,178,25,65.32,4020,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,1.11,47,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,5.83,1885,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,10,197,129,102.23,455,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2,31,26,1.59,6292,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,310,51,2.27,635,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,14,2,15.22,997,3,0,2
freeCodeCamp/freeCodeCamp,MERGED,2,47,47,6.24,2386,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,20,1316,1040,17.69,45,2,0,1
freeCodeCamp/freeCodeCamp,CLOSED,2,10,10,15.7,1702,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,310,51,1.39,635,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,2,3,3,3.02,63,3,0,4
freeCodeCamp/freeCodeCamp,CLOSED,51,56,1915,6.26,39,2,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,3,2,38.32,421,2,1,1
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,15.85,1689,1,0,3
freeCodeCamp/freeCodeCamp,MERGED,1,310,51,17.36,635,2,0,2
freeCodeCamp/freeCodeCamp,MERGED,2,173,9,31.85,1080,3,0,1
freeCodeCamp/freeCodeCamp,CLOSED,2,188,43,21.19,2528,0,1,2
freeCodeCamp/freeCodeCamp,MERGED,2,9,9,10.13,1867,1,1,3
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,16.56,1950,3,1,1
freeCodeCamp/freeCodeCamp,MERGED,11,60,60,2.25,45,2,0,1
freeCodeCamp/freeCodeCamp,MERGED,1,15,7,25.32,0,2,1,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,1,10.16,785,3,4,1
freeCodeCamp/freeCodeCamp,MERGED,1,1,37,10.13,560,3,1,2
sindresorhus/awesome,CLOSED,1,1,0,1.54,9290,3,1,1
sindresorhus/awesome,CLOSED,1,1,0,5.73,1616,5,1,2
sindresorhus/awesome,CLOSED,1,1,0,176.75,11701,5,12,1
sindresorhus/awesome,CLOSED,1,1,0,188.75,1180,6,5,2
sindresorhus/awesome,CLOSED,1,1,0,317.51,3716,6,4,3
sindresorhus/awesome,CLOSED,1,1,0,351.52,3209,6,7,3
sindresorhus/awesome,CLOSED,1,1,1,350.12,4065,5,3,2
sindresorhus/awesome,CLOSED,1,1,0,923.3,9005,10,11,2
sindresorhus/awesome,CLOSED,1,1,0,385.85,9089,4,3,1
sindresorhus/awesome,CLOSED,1,1,0,482.4,1074,7,5,2
sindresorhus/awesome,CLOSED,1,1,0,514.05,9396,4,5,1
sindresorhus/awesome,CLOSED,1,1,0,577.9,67,5,4,1
sindresorhus/awesome,CLOSED,1,1,1,846.01,8381,5,5,2
sindresorhus/awesome,CLOSED,1,1,0,879.25,1457,4,4,3
sindresorhus/awesome,CLOSED,1,2,0,897.81,1576,8,8,1
sindresorhus/awesome,CLOSED,1,1,1,561.76,1614,6,7,1
sindresorhus/awesome,CLOSED,1,1,0,1102.69,8877,4,3,1
sindresorhus/awesome,CLOSED,1,1,0,127.89,249,3,1,1
sindresorhus/awesome,CLOSED,1,1,0,1315.02,9158,5,4,3
sindresorhus/awesome,CLOSED,1,1,0,1435.93,1022,7,10,3
sindresorhus/awesome,MERGED,1,1,1,21.66,134,4,0,2
sindresorhus/awesome,CLOSED,1,1,0,1966.14,8931,7,4,3
sindresorhus/awesome,MERGED,1,1,1,1.36,196,6,2,2
sindresorhus/awesome,CLOSED,1,1,0,6.05,2329,3,1,1
sindresorhus/awesome,MERGED,1,1,1,2537.45,8583,9,16,5
sindresorhus/awesome,CLOSED,1,1,0,2725.88,3644,8,8,8
sindresorhus/awesome,CLOSED,1,1,0,3045.31,9126,11,5,8
sindresorhus/awesome,CLOSED,1,1,0,2196.98,2590,9,7,5
sindresorhus/awesome,CLOSED,1,1,0,16.42,228,3,1,2
sindresorhus/awesome,CLOSED,3,170,0,12.2,3067,3,1,1
sindresorhus/awesome,CLOSED,1,1,0,2.37,1243,2,0,1
sindresorhus/awesome,CLOSED,1,1,0,3553.86,8929,9,7,4
sindresorhus/awesome,CLOSED,1,1,0,2661.45,4098,9,10,4
sindresorhus/awesome,CLOSED,1,1,0,9.51,8420,6,8,1
sindresorhus/awesome,CLOSED,1,1,0,2892.97,1180,10,11,4
sindresorhus/awesome,CLOSED,1,1,0,55.71,1307,3,3,1
sindresorhus/awesome,CLOSED,23,107,2323,3.55,9090,3,1,2
sindresorhus/awesome,CLOSED,1,1,0,3808.28,1830,8,8,5
sindresorhus/awesome,MERGED,1,1,0,906.89,4600,5,5,2
sindresorhus/awesome,CLOSED,1,1,0,3790.66,139,5,12,2
sindresorhus/awesome,CLOSED,1,1,0,985.52,9471,4,4,1
sindresorhus/awesome,CLOSED,1,1,0,473.41,9041,3,4,1
sindresorhus/awesome,CLOSED,1,16,5,4764.42,8979,7,2,4
sindresorhus/awesome,MERGED,1,1,0,1162.42,9316,4,6,1
sindresorhus/awesome,MERGED,1,1,0,1310.2,8733,9,11,5
sindresorhus/awesome,CLOSED,1,1,0,1550.33,9075,7,3,5
sindresorhus/awesome,CLOSED,1,1,0,1627.87,1681,4,2,1
sindresorhus/awesome,CLOSED,1,1,0,1628.2,862,4,1,2
sindresorhus/awesome,CLOSED,1,1,0,137.04,8877,3,1,1
sindresorhus/awesome,MERGED,1,1,0,2280.01,9521,7,15,3
sindresorhus/awesome,CLOSED,1,1,0,6087.12,9486,8,12,2
sindresorhus/awesome,MERGED,1,1,0,2748.17,9272,5,11,2
sindresorhus/awesome,CLOSED,1,1,1,4.43,8954,3,1,1
sindresorhus/awesome,MERGED,1,1,0,2572.13,9460,6,11,3
sindresorhus/awesome,CLOSED,1,1,0,6640.87,9516,4,4,1
sindresorhus/awesome,CLOSED,1,1,0,6701.47,8922,7,5,4
sindresorhus/awesome,CLOSED,1,1,1,4592.71,9055,9,9,4
sindresorhus/awesome,CLOSED,1,1,0,13.97,8877,3,1,1
sindresorhus/awesome,MERGED,1,1,1,3.92,172,4,0,2
sindresorhus/awesome,CLOSED,1,1,0,3526.0,9076,18,9,15
sindresorhus/awesome,MERGED,1,1,0,462.55,8930,6,5,3
sindresorhus/awesome,CLOSED,1,1,0,59.24,9063,5,3,2
sindresorhus/awesome,CLOSED,1,1,0,7713.43,9252,11,11,3
sindresorhus/awesome,CLOSED,1,1,0,4034.34,9111,11,13,5
sindresorhus/awesome,CLOSED,1,1,0,6290.77,9177,10,14,5
sindresorhus/awesome,MERGED,1,1,0,2053.28,9077,12,15,6
sindresorhus/awesome,CLOSED,1,14,13,8538.0,9195,7,4,5
sindresorhus/awesome,CLOSED,1,1,0,1274.61,8948,5,6,2
sindresorhus/awesome,MERGED,1,1,0,2350.64,8921,10,6,8
sindresorhus/awesome,CLOSED,1,1,0,10127.91,8982,7,10,2
sindresorhus/awesome,CLOSED,1,1,0,6459.6,9250,5,7,7
sindresorhus/awesome,CLOSED,1,1,0,6477.52,340,9,5,3
sindresorhus/awesome,CLOSED,1,1,0,2518.63,8645,5,5,2
sindresorhus/awesome,CLOSED,1,1,1,1.13,9148,3,1,2
sindresorhus/awesome,CLOSED,1,2,1,6699.04,9119,10,9,6
sindresorhus/awesome,MERGED,1,1,0,1106.47,9542,6,13,7
sindresorhus/awesome,MERGED,1,1,0,3160.8,8365,4,6,3
sindresorhus/awesome,CLOSED,1,1,0,3199.4,8954,10,6,9
sindresorhus/awesome,CLOSED,1,1,0,224.42,9022,7,4,5
sindresorhus/awesome,CLOSED,1,3,0,630.79,9103,8,13,3
sindresorhus/awesome,MERGED,1,1,0,7633.03,8958,8,9,4
sindresorhus/awesome,CLOSED,1,1,1,3814.12,9148,8,9,2
sindresorhus/awesome,CLOSED,1,0,0,7.83,8877,3,0,1
sindresorhus/awesome,MERGED,1,1,0,2100.39,9099,11,7,8
sindresorhus/awesome,CLOSED,1,1,0,4226.69,9461,6,5,6
sindresorhus/awesome,CLOSED,1,1,0,1505.87,8131,6,10,10
sindresorhus/awesome,CLOSED,1,2,1,4464.69,8607,5,8,5
sindresorhus/awesome,MERGED,1,1,0,8564.21,9119,12,10,9
sindresorhus/awesome,CLOSED,1,1,0,1720.57,9184,10,7,5
sindresorhus/awesome,CLOSED,1,1,0,16.69,8899,3,4,1
sindresorhus/awesome,CLOSED,1,1,0,8928.32,3502,10,9,8
sindresorhus/awesome,MERGED,1,1,0,5371.11,9363,5,8,2
sindresorhus/awesome,CLOSED,1,1,0,5375.71,9420,5,14,4
sindresorhus/awesome,MERGED,1,1,0,1294.45,9181,4,13,2
sindresorhus/awesome,MERGED,1,1,1,1297.73,9275,7,15,10
sindresorhus/awesome,CLOSED,1,1,0,5512.26,8774,10,7,5
sindresorhus/awesome,CLOSED,1,1,0,5596.04,9054,7,6,2
sindresorhus/awesome,MERGED,1,1,0,5678.19,9098,9,11,5
sindresorhus/awesome,MERGED,1,1,0,5803.58,8490,5,12,3
sindresorhus/awesome,MERGED,1,1,0,6159.78,9263,10,16,7
openclaw/openclaw,MERGED,8,255,23,2.44,1000,1,10,5
openclaw/openclaw,MERGED,8,317,4,1.01,1364,1,1,3
openclaw/openclaw,MERGED,42,849,204,2.41,1288,1,3,3
openclaw/openclaw,MERGED,7,267,2,1.43,5480,1,2,1
openclaw/openclaw,MERGED,9,355,58,1.13,352,1,3,4
openclaw/openclaw,MERGED,3,333,22,1.94,8176,2,1,4
openclaw/openclaw,MERGED,10,244,49,4.23,4487,2,9,2
openclaw/openclaw,MERGED,23,2242,272,5.7,8124,2,3,6
openclaw/openclaw,MERGED,11,1704,18,5.11,315,1,2,3
openclaw/openclaw,CLOSED,2,421,24,1.19,2533,2,7,3
openclaw/openclaw,MERGED,38,1173,49,11.62,20290,3,5,22
openclaw/openclaw,CLOSED,5,512,0,9.2,497,2,8,4
openclaw/openclaw,MERGED,22,3211,0,4.91,1262,1,4,23
openclaw/openclaw,MERGED,52,2334,204,12.75,18470,3,5,32
openclaw/openclaw,MERGED,2,192,9,4.38,319,1,2,6
openclaw/openclaw,MERGED,30,1823,377,10.48,2959,2,3,5
openclaw/openclaw,MERGED,3,27,13,3.44,6722,1,2,1
openclaw/openclaw,MERGED,4,313,173,3.07,6524,1,2,3
openclaw/openclaw,CLOSED,2,55,3,1.01,1365,1,2,2
openclaw/openclaw,MERGED,10,2792,46,1.07,6706,1,4,8
openclaw/openclaw,MERGED,3,42,4,1.14,6762,2,2,1
openclaw/openclaw,MERGED,3,111,3,1.04,1485,3,3,1
openclaw/openclaw,CLOSED,2,55,3,1.61,1365,1,2,1
openclaw/openclaw,CLOSED,2,24,0,1.57,1404,1,2,2
openclaw/openclaw,MERGED,1,2,0,3.6,2543,2,1,2
openclaw/openclaw,CLOSED,2,13,10,1.57,1212,2,2,1
openclaw/openclaw,MERGED,3,125,2,1.59,7182,2,2,4
openclaw/openclaw,MERGED,4,521,6,2.19,849,1,7,11
openclaw/openclaw,CLOSED,2,10,5,1.87,4234,2,2,3
openclaw/openclaw,MERGED,6,132,1,2.07,1060,2,2,4
openclaw/openclaw,CLOSED,7,188,3,16.24,5782,1,2,3
openclaw/openclaw,CLOSED,1,0,0,3.15,81,2,2,1
openclaw/openclaw,MERGED,15,263,82,2.9,1205,2,2,2
openclaw/openclaw,CLOSED,5,1986,0,4.28,488,2,4,1
openclaw/openclaw,CLOSED,31,718,74,1.37,630,2,3,1
openclaw/openclaw,CLOSED,4,1096,33,2.45,17144,2,5,4
openclaw/openclaw,MERGED,23,593,35,14.34,3303,1,3,4
openclaw/openclaw,MERGED,26,677,203,1.46,1622,2,3,2
openclaw/openclaw,CLOSED,1,4,1,5.33,1196,2,3,1
openclaw/openclaw,MERGED,2,392,25,17.59,4929,2,5,2
openclaw/openclaw,CLOSED,2,27,2,19.46,728,2,2,2
openclaw/openclaw,CLOSED,1,13,0,8.65,1673,2,2,1
openclaw/openclaw,CLOSED,5,524,0,8.81,6235,2,4,3
openclaw/openclaw,MERGED,4,79,20,10.9,5379,2,2,1
openclaw/openclaw,MERGED,3,52,1,9.43,1405,2,6,5
openclaw/openclaw,MERGED,16,602,28,17.23,5366,2,4,3
openclaw/openclaw,MERGED,2,132,0,6.88,1950,2,3,5
openclaw/openclaw,CLOSED,4,472,47,7.25,3828,2,4,2
openclaw/openclaw,CLOSED,178,36466,1962,12.61,8435,2,2,2
openclaw/openclaw,CLOSED,4,96,17,2.85,2572,1,1,4
openclaw/openclaw,MERGED,3,173,3,15.93,3597,3,4,5
openclaw/openclaw,CLOSED,6,511,4,3.27,1295,1,3,2
openclaw/openclaw,MERGED,9,152,41,4.08,3960,2,4,1
openclaw/openclaw,MERGED,9,479,31,2.68,1219,1,2,1
openclaw/openclaw,MERGED,3,58,4,2.49,5189,2,3,1
openclaw/openclaw,MERGED,14,451,25,3.33,6799,2,4,5
openclaw/openclaw,CLOSED,8,300,115,17.73,1103,1,2,4
openclaw/openclaw,MERGED,3,71,6,2.05,2076,3,6,1
openclaw/openclaw,CLOSED,6,486,4,2.62,1215,3,6,3
openclaw/openclaw,MERGED,14,99,804,2.87,968,2,7,3
openclaw/openclaw,CLOSED,4,494,16,21.0,3236,1,2,1
openclaw/openclaw,CLOSED,2,74,1,23.63,1495,1,2,1
openclaw/openclaw,CLOSED,2,42,2,23.7,948,1,3,2
openclaw/openclaw,CLOSED,64,4971,109,3.84,1754,2,3,5
openclaw/openclaw,MERGED,5,627,20,2.95,8416,2,2,5
openclaw/openclaw,CLOSED,6,96,20,2.84,5405,2,2,1
openclaw/openclaw,CLOSED,7,70,3,3.48,5777,2,2,2
openclaw/openclaw,MERGED,11,379,20,2.91,6656,2,5,5
openclaw/openclaw,MERGED,4,17,1,20.88,1116,2,3,1
openclaw/openclaw,MERGED,1,50,0,4.17,4800,2,5,4
openclaw/openclaw,MERGED,5,216,18,2.58,5655,2,2,1
openclaw/openclaw,MERGED,54,5385,56,4.98,3367,2,3,23
openclaw/openclaw,MERGED,9,475,37,3.64,5423,1,2,2
openclaw/openclaw,MERGED,6,374,14,4.22,5071,1,2,4
openclaw/openclaw,MERGED,26,878,66,4.41,5776,1,2,5
openclaw/openclaw,CLOSED,3,1087,1,1.89,5458,2,10,12
openclaw/openclaw,CLOSED,2,63,2,22.35,1045,2,3,4
openclaw/openclaw,MERGED,13,79,30,8.8,5922,2,2,5
openclaw/openclaw,MERGED,29,4796,82,12.66,6798,1,4,10
openclaw/openclaw,MERGED,3,55,9,2.23,1406,2,2,1
openclaw/openclaw,MERGED,13,733,57,9.77,952,1,5,9
openclaw/openclaw,CLOSED,6,335,128,1.31,741,2,3,1
openclaw/openclaw,MERGED,3,171,8,27.06,680,4,5,3
openclaw/openclaw,MERGED,11,339,42,6.98,6820,1,2,4
openclaw/openclaw,CLOSED,3,154,13,1.92,5820,1,1,2
openclaw/openclaw,MERGED,8,454,39,3.37,2688,2,6,5
openclaw/openclaw,MERGED,3,70,1,1.2,10216,1,2,2
openclaw/openclaw,MERGED,5,433,38,6.49,8023,1,2,4
openclaw/openclaw,MERGED,3,254,1,1.45,6735,1,1,1
openclaw/openclaw,CLOSED,5,653,0,4.91,3237,2,2,1
openclaw/openclaw,MERGED,5,356,386,3.25,2094,3,2,1
openclaw/openclaw,MERGED,28,2020,360,2.6,1323,1,5,11
openclaw/openclaw,MERGED,8,128,1,4.56,5226,2,3,4
openclaw/openclaw,CLOSED,4,39,3,4.5,764,2,3,1
openclaw/openclaw,CLOSED,41,8227,71,1.92,4579,3,3,9
openclaw/openclaw,MERGED,1,6,5,3.86,2251,2,4,2
openclaw/openclaw,CLOSED,8,106,11,7.98,8986,2,3,2
openclaw/openclaw,MERGED,4,128,7,16.88,2287,1,2,2
openclaw/openclaw,CLOSED,15,1189,17,2.15,681,3,4,2
openclaw/openclaw,CLOSED,1,1,1,9.12,578,2,2,1
EbookFoundation/free-programming-books,MERGED,1,1,1,104.87,7331,2,1,1
EbookFoundation/free-programming-books,CLOSED,2,170,0,7.96,1103,3,1,1
EbookFoundation/free-programming-books,CLOSED,1,2,0,43.84,663,2,0,2
EbookFoundation/free-programming-books,MERGED,1,7,1,26.68,1217,3,1,2
EbookFoundation/free-programming-books,MERGED,1,0,1,122.39,902,3,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,127.45,1412,2,1,1
EbookFoundation/free-programming-books,MERGED,1,1,0,71.94,881,2,2,1
EbookFoundation/free-programming-books,MERGED,1,9,2,556.95,1470,3,4,4
EbookFoundation/free-programming-books,CLOSED,1,1,1,55.15,61,2,0,1
EbookFoundation/free-programming-books,MERGED,1,0,7,117.35,126,2,1,1
EbookFoundation/free-programming-books,MERGED,1,1,1,150.62,7940,2,1,1
EbookFoundation/free-programming-books,MERGED,3,3,3,150.63,7448,2,1,1
EbookFoundation/free-programming-books,MERGED,1,1,1,49.89,997,2,1,1
EbookFoundation/free-programming-books,MERGED,1,1,0,62.49,1917,2,1,2
EbookFoundation/free-programming-books,MERGED,1,1,1,78.5,1664,2,0,2
EbookFoundation/free-programming-books,MERGED,1,4,1,65.76,1365,2,4,4
EbookFoundation/free-programming-books,CLOSED,1,6,0,44.06,326,3,2,1
EbookFoundation/free-programming-books,CLOSED,1,8,18,381.76,75,3,13,1
EbookFoundation/free-programming-books,MERGED,1,2,1,53.2,103,2,12,2
EbookFoundation/free-programming-books,CLOSED,1,6,5,2348.14,851,2,6,1
EbookFoundation/free-programming-books,MERGED,1,2,0,15.56,2315,2,2,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,2346.75,208,2,5,2
EbookFoundation/free-programming-books,MERGED,1,0,1,35.72,1317,3,7,1
EbookFoundation/free-programming-books,CLOSED,1,28,3,2263.36,1103,2,2,1
EbookFoundation/free-programming-books,MERGED,1,1,0,319.51,1241,2,2,3
EbookFoundation/free-programming-books,MERGED,1,1,0,41.65,1056,3,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,41.71,1054,3,0,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,17.61,1056,2,1,2
EbookFoundation/free-programming-books,MERGED,3,3,2,67.27,1103,2,1,3
EbookFoundation/free-programming-books,CLOSED,1,1,0,2497.08,1263,2,3,2
EbookFoundation/free-programming-books,CLOSED,3,5,4,2497.46,1103,2,3,4
EbookFoundation/free-programming-books,MERGED,1,6,4,11.02,1915,2,5,2
EbookFoundation/free-programming-books,MERGED,1,18,16,31.61,1190,2,12,4
EbookFoundation/free-programming-books,CLOSED,1,1,0,2255.59,2013,2,10,3
EbookFoundation/free-programming-books,MERGED,1,4,2,410.01,1667,2,9,14
EbookFoundation/free-programming-books,MERGED,1,2,0,49.26,1103,2,0,2
EbookFoundation/free-programming-books,CLOSED,1,3,0,2261.69,1116,2,2,1
EbookFoundation/free-programming-books,MERGED,1,1,0,50.74,1665,2,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,32.67,1103,3,0,2
EbookFoundation/free-programming-books,CLOSED,1,1,0,2291.76,0,2,2,1
EbookFoundation/free-programming-books,MERGED,1,1,0,19.82,1698,2,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,52.24,1603,2,1,1
EbookFoundation/free-programming-books,MERGED,1,1,0,20.32,2003,2,2,1
EbookFoundation/free-programming-books,MERGED,1,1,0,21.73,1930,2,1,1
EbookFoundation/free-programming-books,CLOSED,1,0,5,2344.17,486,2,2,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,98.29,1732,3,0,4
EbookFoundation/free-programming-books,MERGED,2,1,1,77.09,1103,2,3,4
EbookFoundation/free-programming-books,MERGED,1,1,0,48.38,1513,2,9,1
EbookFoundation/free-programming-books,MERGED,1,7,0,50.19,1520,3,0,2
EbookFoundation/free-programming-books,CLOSED,1,1,0,2364.69,2235,2,3,1
EbookFoundation/free-programming-books,MERGED,1,40,3,58.6,1560,3,6,1
EbookFoundation/free-programming-books,CLOSED,2,2,0,52.03,1103,2,0,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,52.52,1103,2,0,1
EbookFoundation/free-programming-books,MERGED,2,6,5,25.22,1103,2,1,1
EbookFoundation/free-programming-books,MERGED,1,6,0,34.84,1148,2,2,2
EbookFoundation/free-programming-books,MERGED,1,1,0,45.4,1103,2,0,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,48.26,1885,2,3,1
EbookFoundation/free-programming-books,CLOSED,1,1,0,2424.68,1103,2,7,1
EbookFoundation/free-programming-books,MERGED,1,1,0,38.25,1043,2,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,65.76,1017,2,2,3
EbookFoundation/free-programming-books,CLOSED,1,1,0,40.07,1459,2,3,1
EbookFoundation/free-programming-books,MERGED,1,3,2,44.3,1177,2,3,2
EbookFoundation/free-programming-books,MERGED,1,2,0,19.78,722,3,2,1
EbookFoundation/free-programming-books,MERGED,1,1,0,25.45,1235,3,0,1
EbookFoundation/free-programming-books,MERGED,1,1,0,25.5,1249,3,0,1
EbookFoundation/free-programming-books,MERGED,2,4,1,22.67,841,3,2,1
EbookFoundation/free-programming-books,MERGED,1,1,1,16.25,6278,2,1,1
